Department,Stops,Tickets,Warnings,tickets 10/14 - 3/15 ,tickets 10/13 - 3/14 ,Difference,,,,
Ansonia,2185,873,1312,39.95%,32.6%,7.35,0.4,0.33,0.4%,0.33%
Avon,561,137,424,24.42%,23.94%,0.48,0.24,0.24,0.24%,0.24%
Berlin,2322,945,1377,40.7%,33.69%,7.01,0.41,0.34,0.41%,0.34%
Bethel,1402,357,1045,25.46%,28%,-2.54,0.25,0.28,0.25%,0.28%
Bloomfield,2450,618,1832,25.22%,34.43%,-9.21,0.25,0.34,0.25%,0.34%
Branford,2410,1779,631,73.82%,67.04%,6.78,0.74,0.67,0.74%,0.67%
Bridgeport,1836,1175,661,64%,62.65%,1.35,0.64,0.63,0.64%,0.63%
Bristol,2773,1077,1696,38.84%,44.4%,-5.56,0.39,0.44,0.39%,0.44%
Brookfield,814,193,621,23.71%,23.08%,0.63,0.24,0.23,0.24%,0.23%
Canton,573,117,456,20.42%,23.83%,-3.41,0.2,0.24,0.2%,0.24%
CAPITOL POLICE,109,21,88,19.27%,20.83%,-1.56,0.19,0.21,0.19%,0.21%
CCSU,1401,241,1160,17.2%,34.39%,-17.19,0.17,0.34,0.17%,0.34%
Cheshire,2542,660,1882,25.96%,23.66%,2.3,0.26,0.24,0.26%,0.24%
Clinton,1229,253,976,20.59%,19.42%,1.17,0.21,0.19,0.21%,0.19%
Coventry,714,286,428,40.06%,43.67%,-3.61,0.4,0.44,0.4%,0.44%
Cromwell,861,267,594,31.01%,37.24%,-6.23,0.31,0.37,0.31%,0.37%
Danbury,1575,1220,355,77.46%,87.14%,-9.68,0.77,0.87,0.77%,0.87%
Darien,1263,666,597,52.73%,45.63%,7.1,0.53,0.46,0.53%,0.46%
Derby,1275,1018,257,79.84%,70.5%,9.34,0.8,0.71,0.8%,0.71%
DMV,1176,876,300,74.49%,69.46%,5.03,0.74,0.69,0.74%,0.69%
East Hampton,96,49,47,51.04%,29.23%,21.81,0.51,0.29,0.51%,0.29%
East Hartford,3448,2132,1316,61.83%,61.37%,0.46,0.62,0.61,0.62%,0.61%
East Haven,1357,554,803,40.83%,41.39%,-0.56,0.41,0.41,0.41%,0.41%
East Windsor,484,212,272,43.8%,36.25%,7.55,0.44,0.36,0.44%,0.36%
Easton,245,66,179,26.94%,33.96%,-7.02,0.27,0.34,0.27%,0.34%
ECSU,121,14,107,11.57%,8.43%,3.14,0.12,0.08,0.12%,0.08%
Enfield,2637,586,2051,22.22%,25.45%,-3.23,0.22,0.25,0.22%,0.25%
Fairfield,3714,1691,2023,45.53%,46.27%,-0.74,0.46,0.46,0.46%,0.46%
Farmington,1900,905,995,47.63%,54.67%,-7.04,0.48,0.55,0.48%,0.55%
Glastonbury,2089,793,1296,37.96%,38.69%,-0.73,0.38,0.39,0.38%,0.39%
Granby,494,183,311,37.04%,39.95%,-2.91,0.37,0.4,0.37%,0.4%
Greenwich,3313,2022,1291,61.03%,64.35%,-3.32,0.61,0.64,0.61%,0.64%
Groton City,1285,638,647,49.65%,49.61%,0.04,0.5,0.5,0.5%,0.5%
Groton Long Point,38,17,21,44.74%,50.94%,-6.2,0.45,0.51,0.45%,0.51%
Groton Town,1848,932,916,50.43%,24.74%,25.69,0.5,0.25,0.5%,0.25%
Guilford,1281,222,1059,17.33%,15.54%,1.79,0.17,0.16,0.17%,0.16%
Hamden,2330,635,1695,27.25%,26.97%,0.28,0.27,0.27,0.27%,0.27%
Hartford,2726,2327,399,85.36%,80.32%,5.04,0.85,0.8,0.85%,0.8%
Madison,1391,400,991,28.76%,26.12%,2.64,0.29,0.26,0.29%,0.26%
Manchester,2067,1019,1048,49.3%,41.46%,7.84,0.49,0.41,0.49%,0.41%
Meriden,898,719,179,80.07%,76.53%,3.54,0.8,0.77,0.8%,0.77%
Middlebury,47,7,40,14.89%,8.09%,6.8,0.15,0.08,0.15%,0.08%
Middletown,1932,642,1290,33.23%,32.38%,0.85,0.33,0.32,0.33%,0.32%
Milford,842,255,587,30.29%,38.69%,-8.4,0.3,0.39,0.3%,0.39%
Monroe,2269,493,1776,21.73%,28.41%,-6.68,0.22,0.28,0.22%,0.28%
Naugatuck,1889,453,1436,23.98%,23.04%,0.94,0.24,0.23,0.24%,0.23%
New Britain,4502,1996,2506,44.34%,46.75%,-2.41,0.44,0.47,0.44%,0.47%
New Canaan,2332,624,1708,26.76%,28.02%,-1.26,0.27,0.28,0.27%,0.28%
New Haven,5597,3146,2451,56.21%,65.05%,-8.84,0.56,0.65,0.56%,0.65%
New London,664,266,398,40.06%,42.13%,-2.07,0.4,0.42,0.4%,0.42%
New Milford,1444,488,956,33.8%,45.47%,-11.67,0.34,0.45,0.34%,0.45%
Newington,2905,1048,1857,36.08%,37.46%,-1.38,0.36,0.37,0.36%,0.37%
Newtown,4819,1118,3701,23.2%,24.79%,-1.59,0.23,0.25,0.23%,0.25%
North Branford,552,275,277,49.82%,44.22%,5.6,0.5,0.44,0.5%,0.44%
North Haven,633,337,296,53.24%,53.23%,0.01,0.53,0.53,0.53%,0.53%
Norwalk,2280,1449,831,63.55%,62.96%,0.59,0.64,0.63,0.64%,0.63%
Norwich,2898,809,2089,27.92%,29.93%,-2.01,0.28,0.3,0.28%,0.3%
Old Saybrook,1588,389,1199,24.5%,22.94%,1.56,0.25,0.23,0.25%,0.23%
Orange,1943,770,1173,39.63%,49.3%,-9.67,0.4,0.49,0.4%,0.49%
Plainfield,524,68,456,12.98%,15.81%,-2.83,0.13,0.16,0.13%,0.16%
Plainville,1668,356,1312,21.34%,21.13%,0.21,0.21,0.21,0.21%,0.21%
Plymouth,845,106,739,12.54%,17.53%,-4.99,0.13,0.18,0.13%,0.18%
Portland,43,6,37,13.95%,8.49%,5.46,0.14,0.08,0.14%,0.08%
Putnam,548,36,512,6.57%,7.48%,-0.91,0.07,0.07,0.07%,0.07%
Redding,680,128,552,18.82%,8.31%,10.51,0.19,0.08,0.19%,0.08%
Ridgefield,3605,1462,2143,40.55%,44.73%,-4.18,0.41,0.45,0.41%,0.45%
Rocky Hill,1838,534,1304,29.05%,39.31%,-10.26,0.29,0.39,0.29%,0.39%
SCSU,575,264,311,45.91%,49.61%,-3.7,0.46,0.5,0.46%,0.5%
Seymour,1506,278,1228,18.46%,23.47%,-5.01,0.18,0.23,0.18%,0.23%
Shelton,243,78,165,32.1%,36.9%,-4.8,0.32,0.37,0.32%,0.37%
Simsbury,1550,317,1233,20.45%,22.08%,-1.63,0.2,0.22,0.2%,0.22%
South Windsor,1519,443,1076,29.16%,38.38%,-9.22,0.29,0.38,0.29%,0.38%
Southington,1834,492,1342,26.83%,29.3%,-2.47,0.27,0.29,0.27%,0.29%
Stamford,3605,1048,2557,29.07%,53.28%,-24.21,0.29,0.53,0.29%,0.53%
State Police,89584,66727,22857,74.49%,75.91%,-1.42,0.74,0.76,0.74%,0.76%
Stonington,1066,226,840,21.2%,22.95%,-1.75,0.21,0.23,0.21%,0.23%
Stratford,1420,528,892,37.18%,40.05%,-2.87,0.37,0.4,0.37%,0.4%
Suffield,499,90,409,18.04%,9.68%,8.36,0.18,0.1,0.18%,0.1%
Thomaston,404,60,344,14.85%,16.67%,-1.82,0.15,0.17,0.15%,0.17%
Torrington,3623,533,3090,14.71%,19.07%,-4.36,0.15,0.19,0.15%,0.19%
Trumbull,922,672,250,72.89%,67.98%,4.91,0.73,0.68,0.73%,0.68%
UCONN,1359,270,1089,19.87%,,,0.2,,0.2%,
Vernon,1661,406,1255,24.44%,25.88%,-1.44,0.24,0.26,0.24%,0.26%
Wallingford,4254,1771,2483,41.63%,41.25%,0.38,0.42,0.41,0.42%,0.41%
Waterbury,931,504,427,54.14%,63.06%,-8.92,0.54,0.63,0.54%,0.63%
Waterford,2479,514,1965,20.73%,21.18%,-0.45,0.21,0.21,0.21%,0.21%
Watertown,662,205,457,30.97%,39.3%,-8.33,0.31,0.39,0.31%,0.39%
WCSU,11,4,7,36.36%,27.78%,8.58,0.36,0.28,0.36%,0.28%
West Hartford,3628,1791,1837,49.37%,50.29%,-0.92,0.49,0.5,0.49%,0.5%
West Haven,219,42,177,19.18%,50%,-30.82,0.19,0.5,0.19%,0.5%
Weston,143,36,107,25.17%,37.13%,-11.96,0.25,0.37,0.25%,0.37%
Westport,2455,828,1627,33.73%,39.05%,-5.32,0.34,0.39,0.34%,0.39%
Wethersfield,2160,529,1631,24.49%,30.33%,-5.84,0.24,0.3,0.24%,0.3%
Willimantic,1411,285,1126,20.2%,22.42%,-2.22,0.2,0.22,0.2%,0.22%
Wilton,1994,461,1533,23.12%,28.88%,-5.76,0.23,0.29,0.23%,0.29%
Windsor,2478,415,2063,16.75%,20.21%,-3.46,0.17,0.2,0.17%,0.2%
Windsor Locks,1049,317,732,30.22%,28.37%,1.85,0.3,0.28,0.3%,0.28%
Winsted,239,69,170,28.87%,28.35%,0.52,0.29,0.28,0.29%,0.28%
Wolcott,207,73,134,35.27%,20.39%,14.88,0.35,0.2,0.35%,0.2%
Woodbridge,974,539,435,55.34%,61%,-5.66,0.55,0.61,0.55%,0.61%
Yale,621,212,409,34.14%,45.38%,-11.24,0.34,0.45,0.34%,0.45%
