geoid,name,B08006001 - Total:,"B08006001 - Total:, Error","B08006002 - Car, truck, or van:","B08006002 - Car, truck, or van:, Error",B08006003 - Drove alone,"B08006003 - Drove alone, Error",B08006004 - Carpooled:,"B08006004 - Carpooled:, Error",B08006005 - In 2-person carpool,"B08006005 - In 2-person carpool, Error",B08006006 - In 3-person carpool,"B08006006 - In 3-person carpool, Error",B08006007 - In 4-or-more-person carpool,"B08006007 - In 4-or-more-person carpool, Error",B08006008 - Public transportation (excluding taxicab):,"B08006008 - Public transportation (excluding taxicab):, Error",B08006009 - Bus or trolley bus,"B08006009 - Bus or trolley bus, Error",B08006010 - Streetcar or trolley car (carro publico in Puerto Rico),"B08006010 - Streetcar or trolley car (carro publico in Puerto Rico), Error",B08006011 - Subway or elevated,"B08006011 - Subway or elevated, Error",B08006012 - Railroad,"B08006012 - Railroad, Error",B08006013 - Ferryboat,"B08006013 - Ferryboat, Error",B08006014 - Bicycle,"B08006014 - Bicycle, Error",B08006015 - Walked,"B08006015 - Walked, Error","B08006016 - Taxicab, motorcycle, or other means","B08006016 - Taxicab, motorcycle, or other means, Error",B08006017 - Worked at home,"B08006017 - Worked at home, Error",B08006018 - Male:,"B08006018 - Male:, Error","B08006019 - Car, truck, or van:","B08006019 - Car, truck, or van:, Error",B08006020 - Drove alone,"B08006020 - Drove alone, Error",B08006021 - Carpooled:,"B08006021 - Carpooled:, Error",B08006022 - In 2-person carpool,"B08006022 - In 2-person carpool, Error",B08006023 - In 3-person carpool,"B08006023 - In 3-person carpool, Error",B08006024 - In 4-or-more-person carpool,"B08006024 - In 4-or-more-person carpool, Error",B08006025 - Public transportation (excluding taxicab):,"B08006025 - Public transportation (excluding taxicab):, Error",B08006026 - Bus or trolley bus,"B08006026 - Bus or trolley bus, Error",B08006027 - Streetcar or trolley car (carro publico in Puerto Rico),"B08006027 - Streetcar or trolley car (carro publico in Puerto Rico), Error",B08006028 - Subway or elevated,"B08006028 - Subway or elevated, Error",B08006029 - Railroad,"B08006029 - Railroad, Error",B08006030 - Ferryboat,"B08006030 - Ferryboat, Error",B08006031 - Bicycle,"B08006031 - Bicycle, Error",B08006032 - Walked,"B08006032 - Walked, Error","B08006033 - Taxicab, motorcycle, or other means","B08006033 - Taxicab, motorcycle, or other means, Error",B08006034 - Worked at home,"B08006034 - Worked at home, Error",B08006035 - Female:,"B08006035 - Female:, Error","B08006036 - Car, truck, or van:","B08006036 - Car, truck, or van:, Error",B08006037 - Drove alone,"B08006037 - Drove alone, Error",B08006038 - Carpooled:,"B08006038 - Carpooled:, Error",B08006039 - In 2-person carpool,"B08006039 - In 2-person carpool, Error",B08006040 - In 3-person carpool,"B08006040 - In 3-person carpool, Error",B08006041 - In 4-or-more-person carpool,"B08006041 - In 4-or-more-person carpool, Error",B08006042 - Public transportation (excluding taxicab):,"B08006042 - Public transportation (excluding taxicab):, Error",B08006043 - Bus or trolley bus,"B08006043 - Bus or trolley bus, Error",B08006044 - Streetcar or trolley car (carro publico in Puerto Rico),"B08006044 - Streetcar or trolley car (carro publico in Puerto Rico), Error",B08006045 - Subway or elevated,"B08006045 - Subway or elevated, Error",B08006046 - Railroad,"B08006046 - Railroad, Error",B08006047 - Ferryboat,"B08006047 - Ferryboat, Error",B08006048 - Bicycle,"B08006048 - Bicycle, Error",B08006049 - Walked,"B08006049 - Walked, Error","B08006050 - Taxicab, motorcycle, or other means","B08006050 - Taxicab, motorcycle, or other means, Error",B08006051 - Worked at home,"B08006051 - Worked at home, Error"
01000US,United States,139786639,142773,120356737,161792,106725474,111405,13631263,60703,10522671,43709,1818712,18975,1289880,11386,7000722,21139,3670204,15845,84019,2063,2441478,12996,763025,7141,41996,1660,802450,7657,3922801,16357,1657544,11639,6046385,21247,73771662,83486,63408460,100457,56018083,83747,7390377,26789,5584414,22585,1009180,9488,796783,8002,3479199,12373,1733491,9933,43924,1690,1230574,8102,446280,5100,24930,1082,586315,5646,2115176,12476,1087296,8606,3095216,15747,66014977,69521,56948277,70552,50707391,43520,6240886,39558,4938257,26385,809532,12077,493097,6429,3521523,14021,1936713,10472,40095,1267,1210904,8641,316745,3864,17066,977,216135,3622,1807625,9704,570248,7022,2951169,12788
04000US09,Connecticut,1727286,4741,1503547,5331,1359050,5547,144497,3457,113668,3314,17509,1006,13320,1062,80574,2190,44820,1719,300,145,2535,300,32603,1398,316,120,4793,513,52155,1728,15162,859,71055,1726,892745,3579,771470,4030,695486,4109,75984,2020,57476,1960,10081,719,8427,765,44561,1559,20524,1174,240,137,1638,253,21943,1035,216,97,3695,485,28580,1450,8668,683,35771,1180,834541,3328,732077,3266,663564,3331,68513,2213,56192,1973,7428,640,4893,598,36013,1541,24296,1296,60,34,897,141,10660,705,100,57,1098,203,23575,810,6494,688,35284,1036
06000US0900104720,"Bethel town, Fairfield County, CT",10107,391,8906,375,8227,391,679,164,564,151,53,45,62,40,494,163,30,47,0,19,100,109,364,164,0,19,155,106,194,113,24,27,334,127,5207,288,4448,302,4142,305,306,102,256,89,22,25,28,24,391,146,30,47,0,19,91,114,270,142,0,19,129,100,65,50,24,27,150,70,4900,305,4458,313,4085,309,373,130,308,115,31,39,34,40,103,77,0,19,0,19,9,17,94,72,0,19,26,34,129,94,0,19,184,78
06000US0900108070,"Bridgeport town, Fairfield County, CT",62433,1370,50561,1351,41792,1305,8769,768,6898,698,1124,306,747,286,7093,634,4833,484,10,16,163,85,2087,353,0,28,220,115,2954,464,681,205,924,257,30345,1009,24583,903,19947,887,4636,550,3360,443,721,226,555,258,3251,497,2050,383,10,16,72,55,1119,255,0,28,186,105,1503,362,381,150,441,153,32088,1028,25978,905,21845,873,4133,453,3538,444,403,167,192,99,3842,456,2783,371,0,28,91,65,968,219,0,28,34,44,1451,254,300,115,483,173
06000US0900108980,"Brookfield town, Fairfield County, CT",8769,425,7738,476,7393,490,345,132,279,127,59,48,7,12,229,90,16,26,0,19,16,26,197,85,0,19,16,26,31,29,30,29,725,261,4537,320,3902,372,3735,381,167,77,101,66,59,48,7,12,104,50,0,19,0,19,0,19,104,50,0,19,16,26,23,27,23,26,469,195,4232,336,3836,328,3658,330,178,81,178,81,0,19,0,19,125,72,16,26,0,19,16,26,93,64,0,19,0,19,8,13,7,11,256,105
06000US0900118500,"Danbury town, Fairfield County, CT",43777,1085,38599,1027,32762,1135,5837,814,3728,522,1086,357,1023,384,1771,390,1150,305,0,28,45,43,576,192,0,28,42,54,976,267,1228,354,1161,249,23036,1000,20446,809,17317,801,3129,580,1639,318,745,317,745,335,787,264,464,209,0,28,45,43,278,106,0,28,42,54,500,199,687,304,574,168,20741,924,18153,886,15445,907,2708,461,2089,359,341,157,278,130,984,270,686,220,0,28,0,28,298,136,0,28,0,28,476,191,541,231,587,170
06000US0900118850,"Darien town, Fairfield County, CT",7783,372,4793,397,4502,380,291,119,229,122,26,30,36,34,2042,206,40,44,19,22,15,16,1968,202,0,22,0,22,202,82,59,39,687,142,4745,231,2601,232,2435,223,166,80,138,77,0,22,28,25,1655,164,14,18,6,10,7,11,1628,160,0,22,0,22,107,70,51,36,331,88,3038,258,2192,259,2067,250,125,60,91,59,26,30,8,14,387,107,26,40,13,21,8,12,340,96,0,22,0,22,95,51,8,12,356,106
06000US0900123890,"Easton town, Fairfield County, CT",3634,211,2863,215,2760,220,103,63,90,59,11,14,2,4,178,66,0,17,0,17,11,17,167,66,0,17,0,17,33,31,49,47,511,136,2154,145,1663,165,1602,166,61,47,48,41,11,14,2,4,147,61,0,17,0,17,11,17,136,61,0,17,0,17,33,31,30,44,281,87,1480,148,1200,149,1158,142,42,40,42,40,0,17,0,17,31,26,0,17,0,17,0,17,31,26,0,17,0,17,0,17,19,21,230,76
06000US0900126620,"Fairfield town, Fairfield County, CT",26836,554,20650,557,19273,560,1377,278,1008,235,114,61,255,77,2947,370,103,66,11,16,170,54,2663,353,0,28,53,43,931,166,238,82,2017,291,14402,420,10652,442,9945,420,707,174,534,161,46,29,127,59,2135,289,82,59,11,16,133,50,1909,266,0,28,41,39,371,113,167,64,1036,201,12434,443,9998,400,9328,417,670,165,474,126,68,55,128,57,812,167,21,28,0,28,37,29,754,163,0,28,12,19,560,135,71,45,981,196
06000US0900133620,"Greenwich town, Fairfield County, CT",26396,734,18224,715,16440,707,1784,285,1478,240,130,68,176,129,4705,443,176,78,10,16,212,78,4280,421,27,30,38,37,1194,249,234,79,2001,278,15318,485,9898,502,9034,493,864,197,697,146,28,26,139,115,3544,335,123,74,10,16,137,58,3247,331,27,30,8,12,598,196,122,47,1148,229,11078,576,8326,495,7406,496,920,192,781,170,102,52,37,32,1161,202,53,38,0,28,75,42,1033,190,0,28,30,35,596,156,112,65,853,159
