"","town","Average daily traffic","Number of roads","Number of interstate roads","Number of arterials: Freeways and expressways","Number of arterials: Other","Minor arterial roads","Major collector roads","Minor collector roads","Local roads","Daily vehicle miles traveled","Miles of road","Mileage","Town square miles","Town population","Population per square mile","Retail tax 2014","Total tax 2014","Total commuters","Total drivers","Drivers as a percent of commuters","Drivers as a percent of total population","Town median income","Total traffic stops in 2014","Total tickets issued in 2014","Total warnings issued in 2014","Percent of tickets given out of all stops","Percent of warnings given out of all stops","Sworn male officers","Sworn female officers","Total sworn officers","Total police department employees"
"1","ANSONIA",5276.98,63,0,2,11,31,15,0,4,220760,141.19,68.95,6,19163,3193.83333333333,92055172.52,3909997.01,8726,8054,92.3,42.03,45505,4883,1940,2943,39.73,60.27,43,3,46,54
"2","AVON",7641,50,0,0,22,14,10,0,4,350540,258.47,125,23.1,18205,788.095238095238,221552718.76,10119446.69,8462,7540,89.1,41.42,115571,667,202,465,30.28,69.72,22,10,32,39
"3","BERLIN",8351.79,140,0,29,38,51,19,0,3,683101,297.14,136.92,26.4,20179,764.356060606061,1148343821.13,70475687.76,10598,9927,93.67,49.19,87432,6644,2840,3804,42.75,57.25,37,4,41,56
"4","BETHEL",5561.53,59,1,0,0,42,7,0,9,342458,204.75,100.04,16.8,18887,1124.22619047619,350450769.1,9213018.09,10107,8906,88.12,47.15,85589,3712,1149,2563,30.95,69.05,32,3,35,47
"5","BLOOMFIELD",9230.55,91,0,0,25,63,2,0,1,486564,272.43,128.63,26,20562,790.846153846154,281102130.02,10284855.16,10068,9496,94.32,46.18,73104,5515,1992,3523,36.12,63.88,36,5,41,52
"6","BRANFORD",10718.88,98,27,0,15,15,40,0,1,815282,285.55,132.37,22,28025,1273.86363636364,1130898701.41,48778128.07,14353,12873,89.69,45.93,70785,6891,4779,2112,69.35,30.65,44,3,47,60
"7","BRIDGEPORT",7610.54,185,23,25,24,89,14,0,10,1698554,676.91,284.57,16,145587,9099.1875,2716166879.02,47042572.03,62433,50561,80.98,34.73,41050,4717,3158,1559,66.95,33.05,368,46,414,454
"8","BRISTOL",5926.01,223,0,0,89,73,27,0,34,692508,511.84,247.23,26.5,60536,2284.37735849057,726921244.07,22837440.61,29568,27773,93.93,45.88,57610,4653,2157,2496,46.36,53.64,108,6,114,138
"9","BROOKFIELD",6387.16,74,0,6,4,47,5,2,10,433833,255.45,119.92,19.8,16614,839.090909090909,522242842.23,16740113.71,8769,7738,88.24,46.58,107537,3223,893,2330,27.71,72.29,30,1,31,41
"10","CANTON",6847.66,47,0,0,21,10,12,0,4,212730,189.75,91.45,24.6,10304,418.861788617886,278656269.09,12474167.28,5079,4629,91.14,44.92,87891,1751,429,1322,24.5,75.5,14,0,14,20
"11","CHESHIRE",10631.69,71,22,0,28,14,6,0,1,805787,376.33,178.24,32.9,29264,889.483282674772,2134282716.18,15026377.45,14130,12644,89.48,43.21,111638,4749,1361,3388,28.66,71.34,44,4,48,60
"12","CLINTON",5427.73,44,4,0,0,30,7,0,3,370713,186.01,88.91,16.3,13239,812.208588957055,238042392.69,10835671.65,6659,6090,91.46,46,71599,2332,473,1859,20.28,79.72,22,2,24,34
