geoid,name,B19013001 - Median household income in the past 12 months (in 2013 inflation-adjusted dollars),"B19013001 - Median household income in the past 12 months (in 2013 inflation-adjusted dollars), Error"
04000US09,Connecticut,69461,411
06000US0900104720,"Bethel town, Fairfield County, CT",85589,5468
06000US0900108070,"Bridgeport town, Fairfield County, CT",41050,1653
06000US0900108980,"Brookfield town, Fairfield County, CT",107537,10235
06000US0900118500,"Danbury town, Fairfield County, CT",64969,3220
06000US0900118850,"Darien town, Fairfield County, CT",205688,21923
06000US0900123890,"Easton town, Fairfield County, CT",150000,11750
06000US0900126620,"Fairfield town, Fairfield County, CT",117705,3940
06000US0900133620,"Greenwich town, Fairfield County, CT",132164,6701
06000US0900148620,"Monroe town, Fairfield County, CT",103589,8654
06000US0900150580,"New Canaan town, Fairfield County, CT",161848,16216
06000US0900150860,"New Fairfield town, Fairfield County, CT",103100,9539
06000US0900152980,"Newtown town, Fairfield County, CT",109159,7384
06000US0900156060,"Norwalk town, Fairfield County, CT",74728,2899
06000US0900163480,"Redding town, Fairfield County, CT",119112,15833
06000US0900163970,"Ridgefield town, Fairfield County, CT",147993,13080
06000US0900168170,"Shelton town, Fairfield County, CT",86138,4787
06000US0900168310,"Sherman town, Fairfield County, CT",112344,13741
06000US0900173070,"Stamford town, Fairfield County, CT",76779,2695
06000US0900174190,"Stratford town, Fairfield County, CT",66361,3409
06000US0900177200,"Trumbull town, Fairfield County, CT",108854,4903
06000US0900183430,"Weston town, Fairfield County, CT",207262,20127
06000US0900183500,"Westport town, Fairfield County, CT",160106,14814
06000US0900186370,"Wilton town, Fairfield County, CT",167094,12798
06000US0900302060,"Avon town, Hartford County, CT",115571,7647
06000US0900304300,"Berlin town, Hartford County, CT",87432,5885
06000US0900305910,"Bloomfield town, Hartford County, CT",73104,3437
06000US0900308490,"Bristol town, Hartford County, CT",57610,1951
06000US0900310100,"Burlington town, Hartford County, CT",105422,14537
06000US0900312270,"Canton town, Hartford County, CT",87891,7473
06000US0900322070,"East Granby town, Hartford County, CT",71250,10315
06000US0900322630,"East Hartford town, Hartford County, CT",50400,2890
06000US0900324800,"East Windsor town, Hartford County, CT",72785,8120
06000US0900325990,"Enfield town, Hartford County, CT",67191,2827
06000US0900327600,"Farmington town, Hartford County, CT",88935,4905
06000US0900331240,"Glastonbury town, Hartford County, CT",106678,3972
06000US0900332640,"Granby town, Hartford County, CT",97894,8408
06000US0900337070,"Hartford town, Hartford County, CT",29430,1232
06000US0900337140,"Hartland town, Hartford County, CT",88362,5432
06000US0900344700,"Manchester town, Hartford County, CT",63274,2243
06000US0900345820,"Marlborough town, Hartford County, CT",110694,11614
06000US0900350440,"New Britain town, Hartford County, CT",40294,1877
06000US0900352140,"Newington town, Hartford County, CT",77368,3419
06000US0900360120,"Plainville town, Hartford County, CT",60630,3010
06000US0900365370,"Rocky Hill town, Hartford County, CT",77560,9169
06000US0900368940,"Simsbury town, Hartford County, CT",115000,6927
06000US0900370550,"Southington town, Hartford County, CT",80029,3852
06000US0900371390,"South Windsor town, Hartford County, CT",90499,3227
06000US0900374540,"Suffield town, Hartford County, CT",92737,5794
06000US0900382590,"West Hartford town, Hartford County, CT",82322,4255
06000US0900384900,"Wethersfield town, Hartford County, CT",77740,5366
06000US0900387000,"Windsor town, Hartford County, CT",79528,4107
06000US0900387070,"Windsor Locks town, Hartford County, CT",66583,4544
06000US0900502760,"Barkhamsted town, Litchfield County, CT",89911,14856
06000US0900504930,"Bethlehem town, Litchfield County, CT",83871,11120
06000US0900508210,"Bridgewater town, Litchfield County, CT",87875,13664
06000US0900510940,"Canaan town, Litchfield County, CT",65000,13991
06000US0900516050,"Colebrook town, Litchfield County, CT",79667,11026
06000US0900517240,"Cornwall town, Litchfield County, CT",67500,22149
06000US0900532290,"Goshen town, Litchfield County, CT",79850,18539
06000US0900537280,"Harwinton town, Litchfield County, CT",89102,6954
06000US0900540290,"Kent town, Litchfield County, CT",64038,10444
06000US0900543370,"Litchfield town, Litchfield County, CT",86801,8610
06000US0900549460,"Morris town, Litchfield County, CT",83958,15105
06000US0900551350,"New Hartford town, Litchfield County, CT",86354,10564
06000US0900552630,"New Milford town, Litchfield County, CT",80792,4027
06000US0900553470,"Norfolk town, Litchfield County, CT",71538,15269
06000US0900554030,"North Canaan town, Litchfield County, CT",49746,7246
06000US0900560750,"Plymouth town, Litchfield County, CT",70273,3198
06000US0900565930,"Roxbury town, Litchfield County, CT",90250,13714
06000US0900566420,"Salisbury town, Litchfield County, CT",68094,14425
06000US0900567960,"Sharon town, Litchfield County, CT",74083,10076
06000US0900575730,"Thomaston town, Litchfield County, CT",76692,9396
06000US0900576570,"Torrington town, Litchfield County, CT",51951,2795
06000US0900579510,"Warren town, Litchfield County, CT",100972,13231
06000US0900579720,"Washington town, Litchfield County, CT",80160,6135
06000US0900580490,"Watertown town, Litchfield County, CT",80067,6618
06000US0900586440,"Winchester town, Litchfield County, CT",58458,6540
06000US0900587910,"Woodbury town, Litchfield County, CT",81597,15567
06000US0900714300,"Chester town, Middlesex County, CT",74911,14997
06000US0900715350,"Clinton town, Middlesex County, CT",71599,6135
06000US0900718080,"Cromwell town, Middlesex County, CT",75859,6363
06000US0900719130,"Deep River town, Middlesex County, CT",71500,11858
06000US0900720810,"Durham town, Middlesex County, CT",124179,13973
06000US0900722280,"East Haddam town, Middlesex County, CT",89615,12684
06000US0900722490,"East Hampton town, Middlesex County, CT",94747,6610
06000US0900726270,"Essex town, Middlesex County, CT",86298,9599
06000US0900735230,"Haddam town, Middlesex County, CT",93824,7531
06000US0900740710,"Killingworth town, Middlesex County, CT",112761,14682
06000US0900747080,"Middlefield town, Middlesex County, CT",96765,11672
06000US0900747360,"Middletown town, Middlesex County, CT",59994,2819
06000US0900757320,"Old Saybrook town, Middlesex County, CT",75549,9527
06000US0900761800,"Portland town, Middlesex County, CT",88693,10704
06000US0900781680,"Westbrook town, Middlesex County, CT",62832,17667
06000US0900901220,"Ansonia town, New Haven County, CT",45505,8320
06000US0900903250,"Beacon Falls town, New Haven County, CT",85280,11053
06000US0900904580,"Bethany town, New Haven County, CT",100083,16496
06000US0900907310,"Branford town, New Haven County, CT",70785,4056
06000US0900914160,"Cheshire town, New Haven County, CT",111638,4667
06000US0900919550,"Derby town, New Haven County, CT",53098,7036
06000US0900922910,"East Haven town, New Haven County, CT",63673,4477
06000US0900934950,"Guilford town, New Haven County, CT",96151,5082
06000US0900935650,"Hamden town, New Haven County, CT",68794,3364
06000US0900944560,"Madison town, New Haven County, CT",110761,12887
06000US0900946520,"Meriden town, New Haven County, CT",52590,2375
06000US0900946940,"Middlebury town, New Haven County, CT",96181,4558
06000US0900947535,"Milford town, New Haven County, CT",80460,2350
06000US0900949950,"Naugatuck town, New Haven County, CT",59056,5240
06000US0900952070,"New Haven town, New Haven County, CT",37428,1361
06000US0900953890,"North Branford town, New Haven County, CT",84783,9776
06000US0900954870,"North Haven town, New Haven County, CT",86250,5078
06000US0900957600,"Orange town, New Haven County, CT",106942,7226
06000US0900958300,"Oxford town, New Haven County, CT",102167,8125
06000US0900962290,"Prospect town, New Haven County, CT",98151,5159
06000US0900967610,"Seymour town, New Haven County, CT",75426,11765
06000US0900969640,"Southbury town, New Haven County, CT",73341,9574
06000US0900978740,"Wallingford town, New Haven County, CT",75346,3541
06000US0900980070,"Waterbury town, New Haven County, CT",40639,1858
06000US0900982870,"West Haven town, New Haven County, CT",52353,2199
06000US0900987560,"Wolcott town, New Haven County, CT",83993,4610
06000US0900987700,"Woodbridge town, New Haven County, CT",138082,12260
06000US0901106820,"Bozrah town, New London County, CT",78580,9644
06000US0901115910,"Colchester town, New London County, CT",96774,7172
06000US0901123400,"East Lyme town, New London County, CT",78257,5507
06000US0901129910,"Franklin town, New London County, CT",89643,12702
06000US0901133900,"Griswold town, New London County, CT",59387,10804
06000US0901134250,"Groton town, New London County, CT",60684,2264
06000US0901142390,"Lebanon town, New London County, CT",83651,11835
06000US0901142600,"Ledyard town, New London County, CT",87518,5293
06000US0901143230,"Lisbon town, New London County, CT",80129,10531
06000US0901144210,"Lyme town, New London County, CT",85263,17696
06000US0901148900,"Montville town, New London County, CT",68298,5829
06000US0901152350,"New London town, New London County, CT",43307,2554
06000US0901155500,"North Stonington town, New London County, CT",82900,12359
06000US0901156270,"Norwich town, New London County, CT",48597,3578
06000US0901157040,"Old Lyme town, New London County, CT",87416,6447
06000US0901162150,"Preston town, New London County, CT",74141,14862
06000US0901166210,"Salem town, New London County, CT",100625,11413
06000US0901171670,"Sprague town, New London County, CT",66622,5773
06000US0901173770,"Stonington town, New London County, CT",81026,4652
06000US0901178600,"Voluntown town, New London County, CT",75938,5437
06000US0901180280,"Waterford town, New London County, CT",73156,4261
06000US0901301080,"Andover town, Tolland County, CT",88438,16028
06000US0901306260,"Bolton town, Tolland County, CT",86890,9436
06000US0901316400,"Columbia town, Tolland County, CT",90725,5597
06000US0901317800,"Coventry town, Tolland County, CT",93816,3045
06000US0901325360,"Ellington town, Tolland County, CT",84699,6364
06000US0901337910,"Hebron town, Tolland County, CT",111792,9647
06000US0901344910,"Mansfield town, Tolland County, CT",66143,4607
06000US0901369220,"Somers town, Tolland County, CT",98846,7131
06000US0901372090,"Stafford town, Tolland County, CT",61959,5472
06000US0901376290,"Tolland town, Tolland County, CT",103869,5994
06000US0901377830,"Union town, Tolland County, CT",83850,4204
06000US0901378250,"Vernon town, Tolland County, CT",61038,2172
06000US0901385950,"Willington town, Tolland County, CT",72011,6393
06000US0901501430,"Ashford town, Windham County, CT",75127,7260
06000US0901509190,"Brooklyn town, Windham County, CT",59262,11853
06000US0901512130,"Canterbury town, Windham County, CT",73038,4974
06000US0901513810,"Chaplin town, Windham County, CT",75368,16960
06000US0901521860,"Eastford town, Windham County, CT",83015,7387
06000US0901536000,"Hampton town, Windham County, CT",74559,8068
06000US0901540500,"Killingly town, Windham County, CT",57205,5825
06000US0901559980,"Plainfield town, Windham County, CT",62708,6377
06000US0901561030,"Pomfret town, Windham County, CT",84918,9787
06000US0901562710,"Putnam town, Windham County, CT",46627,8902
06000US0901567400,"Scotland town, Windham County, CT",78250,8426
06000US0901573420,"Sterling town, Windham County, CT",68833,7817
06000US0901575870,"Thompson town, Windham County, CT",64974,7051
06000US0901586790,"Windham town, Windham County, CT",41639,3914
06000US0901588190,"Woodstock town, Windham County, CT",77366,15944
