Station_No,Route_No,Direction,Town_No,Town_Name,Location_Name,Year,ADT,FClass,Urban-Rural,,,State Road Averages,,Town Road Averages,,
18,1,B,14,Branford ,(EAST MAIN ST)-NE OF US 1(NORTH MAIN ST)  ,13,17300,3,U,,Functional Class,Urban,Rural,Urban,Rural,Functional Class Description
20,1,B,14,Branford ,NE OF SR 740(CEDAR STREET)                ,13,13800,3,U,,1,10698,3926,NA,NA,Interstate
23,1,E,14,Branford ,WEST OF ROUTE 142                         ,13,11600,3,U,,2,7746,3956,NA,NA,Principal Arterial - Other Freeways and Expressways
23,1,W,14,Branford ,WEST OF ROUTE 142                         ,13,13400,3,U,,3,9948,6364,9313,NA,Principal Arterial - Other
27,1,B,14,Branford ,SW OF I-95 NB ON RAMP                     ,13,16400,3,U,,4,7767,4473,5742,5400,Minor Arterial
28,1,W,14,Branford ,NE OF ROUTE 142                           ,13,14400,3,U,,5,4496,2586,3113,1907,Major Collector
28,1,E,14,Branford ,NE OF ROUTE 142                           ,13,15600,3,U,,6,NA,1414,1000,796,Minor Collector
32,1,B,14,Branford ,EAST OF ROUTE 139                         ,13,11800,4,U,,7,3184,415,797,322,Local
33,1,B,14,Branford ,WEST OF ROUTE 139                         ,13,18700,4,U,,,,,,,
39,1,B,14,Branford ,EAST OF LEETES ISLAND ROAD                ,13,11500,4,U,,,,,,,
40,1,B,14,Branford ,WEST OF LEETES ISLAND ROAD                ,13,7400,4,U,,,,,,,
106,1,N,14,Branford ,AT EAST HAVEN TOWN LINE                   ,13,8900,3,U,,,,,,,
106,1,S,14,Branford ,AT EAST HAVEN TOWN LINE                   ,13,10800,3,U,,,,,,,
108,1,B,14,Branford ,SW OF I-95 SB OFF RAMP (EXIT 55)          ,13,18500,3,U,,,,,,,
148,1,B,14,Branford ,SW OF SR 740 (CEDAR STREET)               ,13,17900,3,U,,,,,,,
2022,1,N,14,Branford ,NE OF ROUTE 146                           ,13,8000,3,U,,,,,,,
2022,1,S,14,Branford ,NE OF ROUTE 146                           ,13,8300,3,U,,,,,,,
2105,1,N,14,Branford ,NE OF COMMERCIAL PARKWAY                  ,13,13900,3,U,,,,,,,
2105,1,S,14,Branford ,NE OF COMMERCIAL PARKWAY                  ,13,15600,3,U,,,,,,,
