Year,Department,name,pop,emp.per.1k,total,sworn.male,sworn.female,civ.male,civ.female
2012,STATE POLICE,STATE POLICE,541161,2.94,1591,1004,84,223,280
2012,ANSONIA,ANSONIA,19271,2.8,54,43,3,2,6
2012,AVON,AVON,18162,2.15,39,22,10,1,6
2012,BERLIN,BERLIN,19935,2.81,56,37,4,6,9
2012,BETHEL,BETHEL,18822,2.5,47,32,3,5,7
2012,BLOOMFIELD,BLOOMFIELD,20557,2.53,52,36,5,6,5
2012,BRANFORD,BRANFORD,28055,2.14,60,44,3,8,5
2012,BRIDGEPORT,BRIDGEPORT,146030,3.11,454,368,46,18,22
2012,BRISTOL,BRISTOL,60688,0.95,138,108,6,12,12
2012,BROOKFIELD,BROOKFIELD,16662,2.46,41,30,1,6,4
2012,CANTON,CANTON,10328,1.94,20,14,0,4,2
2012,CHESHIRE,CHESHIRE,29295,2.05,60,44,4,4,8
2012,CLINTON,CLINTON,13326,2.55,34,22,2,5,5
2012,COVENTRY,COVENTRY,12451,1.53,19,11,3,3,2
2012,CROMWELL,CROMWELL,14075,2.49,35,23,3,2,7
2012,DANBURY,DANBURY,81891,1.83,150,132,13,0,5
2012,DARIEN,DARIEN,20998,2.71,57,45,6,2,4
2012,DERBY,DERBY,12917,2.55,33,29,2,1,1
2012,EAST HAMPTON,EAST HAMPTON,13024,1.23,16,14,0,0,2
2012,EAST HARTFORD,EAST HARTFORD,51431,3.32,171,113,9,13,36
2012,EAST HAVEN,EAST HAVEN,29288,1.78,52,44,5,1,2
2012,EAST WINDSOR,EAST WINDSOR,11200,2.77,31,23,1,0,7
2012,EASTON,EASTON,7584,2.11,16,13,1,0,2
2012,ENFIELD,ENFIELD,44806,2.68,120,87,9,13,11
2012,FAIRFIELD,FAIRFIELD,60122,1.85,111,98,7,1,5
2012,FARMINGTON,FARMINGTON,25429,2.36,60,40,4,8,8
2012,GLASTONBURY,GLASTONBURY,34547,2.08,72,48,8,6,10
2012,GRANBY,GRANBY,11321,1.68,19,14,1,4,0
2012,GREENWICH,GREENWICH,61948,2.78,172,133,13,14,12
2012,GROTON CITY,GROTON CITY,10397,2.98,31,23,1,2,5
2012,GROTON LONG PT.,GROTON LONG POINT,518,11.58,6,3,0,0,3
2012,GROTON TOWN,GROTON TOWN,29231,2.39,70,55,11,0,4
2012,GUILFORD,GUILFORD,22400,1.92,43,30,5,2,6
2012,HAMDEN,HAMDEN,61032,2.11,129,99,4,12,14
2012,HARTFORD,HARTFORD,125203,4.12,516,427,51,13,25
2012,MADISON,MADISON,18288,1.86,34,21,3,5,5
2012,MANCHESTER,MANCHESTER,58444,2.6,152,106,13,13,20
2012,MERIDEN,MERIDEN,60934,2.13,130,107,9,5,9
2012,MIDDLEBURY,MIDDLEBURY,7583,1.85,14,9,1,2,2
2012,MIDDLETOWN,MIDDLETOWN,47878,2.53,121,95,11,4,11
2012,MILFORD,MILFORD,52817,2.25,119,101,8,2,8
2012,MONROE,MONROE,19728,2.59,51,33,7,6,5
2012,NAUGATUCK,NAUGATUCK,31896,2.16,69,52,5,3,9
2012,NEW BRITAIN,NEW BRITAIN,73458,1.89,139,118,10,2,9
2012,NEW CANAAN,NEW CANAAN,19992,2.5,50,43,2,4,1
2012,NEW HAVEN,NEW HAVEN,129934,3.55,461,343,64,13,41
2012,NEW LONDON,NEW LONDON,27643,3.51,97,71,9,6,11
2012,NEW MILFORD,NEW MILFORD,28047,2.25,63,45,5,5,8
2012,NEWINGTON,NEWINGTON,30668,2.09,64,45,7,6,6
2012,NEWTOWN,NEWTOWN,27904,1.79,50,40,6,1,3
2012,NORTH BRANFORD,NORTH BRANFORD,14422,1.87,27,22,0,2,3
2012,NORTH HAVEN,NORTH HAVEN,24119,2.36,57,46,2,2,7
2012,NORWALK,NORWALK,86693,2.34,203,152,17,21,13
2012,NORWICH,NORWICH,40517,2.47,100,79,5,5,11
2012,OLD SAYBROOK,OLD SAYBROOK,10293,2.91,30,22,2,4,2
2012,ORANGE,ORANGE,13971,3.72,52,37,4,5,6
2012,PLAINFIELD,PLAINFIELD,15410,1.23,19,15,0,1,3
2012,PLAINVILLE,PLAINVILLE,17778,2.19,39,31,1,4,3
2012,PLYMOUTH,PLYMOUTH,12202,2.29,28,23,1,3,1
2012,PORTLAND,PORTLAND,9556,1.26,12,11,0,0,1
2012,PUTNAM MUNICIPAL,PUTNAM,7191,2.5,18,14,1,2,1
2012,REDDING,REDDING,9275,2.26,21,13,2,6,0
2012,RIDGEFIELD,RIDGEFIELD,24952,1.84,46,36,4,3,3
2012,ROCKY HILL,ROCKY HILL,19776,2.17,43,31,3,5,4
2012,SEYMOUR,SEYMOUR,16558,2.6,43,37,3,1,2
2012,SHELTON,SHELTON,40062,1.52,61,49,3,5,4
2012,SIMSBURY,SIMSBURY,23591,1.82,43,30,4,2,7
2012,SOUTH WINDSOR,SOUTH WINDSOR,25798,2.02,52,34,6,4,8
2012,SOUTHINGTON,SOUTHINGTON,43219,2.06,89,64,4,13,8
2012,STAMFORD,STAMFORD,124201,2.61,324,247,22,30,25
2012,STONINGTON,STONINGTON,18556,2.53,47,32,3,5,7
2012,STRATFORD,STRATFORD,52041,1.98,103,86,10,2,5
2012,SUFFIELD,SUFFIELD,15789,1.27,20,19,0,0,1
2012,THOMASTON,THOMASTON,7859,1.65,13,10,0,3,0
2012,TORRINGTON,TORRINGTON,36264,2.43,88,77,4,2,5
2012,TRUMBULL,TRUMBULL,36474,2.22,81,68,4,1,8
2012,VERNON,VERNON,29217,2.22,65,48,4,5,8
2012,WALLINGFORD,WALLINGFORD,45183,1.99,90,57,9,9,15
2012,WATERBURY,WATERBURY,110486,3.01,333,255,25,18,35
2012,WATERFORD,WATERFORD,19529,2.71,53,40,6,1,6
2012,WATERTOWN,WATERTOWN,22437,2.18,49,36,4,2,7
2012,WEST HARTFORD,WEST HARTFORD,63487,2.28,145,117,9,6,13
2012,WEST HAVEN,WEST HAVEN,55626,2.39,133,110,14,1,8
2012,WESTON,WESTON,10309,1.46,15,14,0,0,1
2012,WESTPORT,WESTPORT,26728,2.77,74,53,8,5,8
2012,WETHERSFIELD,WETHERSFIELD,26762,2.06,55,40,4,3,8
2012,WILLIMANTIC,WILLIMANTIC,17818,2.64,47,41,2,0,4
2012,WILTON,WILTON,18291,2.57,47,40,3,2,2
2012,WINCHESTER,WINSTED,11205,1.96,22,17,1,2,2
2012,WINDSOR,WINDSOR,29145,2.09,61,39,10,3,9
2012,WINDSOR LOCKS,WINDSOR LOCKS,12541,2.55,32,24,1,4,3
2012,WOLCOTT,WOLCOTT,16697,1.98,33,24,0,2,7
2012,WOODBRIDGE,WOODBRIDGE,9000,3.78,34,25,1,4,4
2012,C.C.S.U.,CCSU,,,27,20,1,2,4
2012,E.C.S.U.,ECSU,,,24,14,3,3,4
2012,S.C.S.U.,SCSU,,,34,22,5,3,4
2012,W.C.S.U.,WCSU,,,23,16,0,4,3
2012,UCONN-STORRS & HEALTH CTR,UCONN,,,115,72,9,20,14
2012,YALE,YALE,,,99,68,16,6,9
2012,STATE CAPITOL,CAPITOL POLICE,,,37,27,1,7,2
2012,METROPOLITAN TA,MTA STAMFORD,,,734,594,73,25,42
